User Input,Service Category,hindi_input,hindi_output,odia_input,odia_output,telugu_input,telugu_output,bengali_input,bengali_output
I need help with a divorce settlement.,Advocate,???? ???? ?? ?????? ??? ??? ??????,????,??? ??????? ????? ???? ??????? ?????? ??? |,????,??????? ????????????? ???? ????? ??????.,?????????,???? ???????????? ??????????? ??????? ??????,??????????
Resolve a dispute between two businesses.,Arbitrator,?? ????????? ?? ??? ????? ?? ?? ?????,???,????? ??????? ?????? ?? ?????? ?????? ?????? |,???????,????? ????????? ???? ?????????? ?????????????.,?????????,???? ?????????? ????? ???? ????? ?????? ?????,?????
Mediate a family conflict.,Mediator,?? ????????? ?????? ?? ????????? ?????,???????,?? ?????? ??????? ???????? ?? |,?????????,?????? ????????? ????????????? ??????.,?????????,???? ????????? ?????????? ????????? ?????,?????????????
Notarize my rental agreement.,Notary,???? ?????? ?? ?????? ?? ????? ?????,?????,??? ??? ???????? ?????? |,??????,?? ????? ??????????? ?????????.,?????,???? ????? ?????? ???????? ?????,??????
Draft a legal contract for my business.,Document Writer,???? ??????? ?? ??? ?? ?????? ?????? ?? ????? ????? ?????,????????? ????,?? ??????? ???? ?? ????? ?????????? ??????? ?? |,??????????? ?????? |,?? ???????? ???? ????????? ??????????? ????????????.,??????????? ?????,???? ?????????? ???? ???? ???? ?????? ??????,??? ????
I have a personal injury case.,Advocate,???? ??? ?? ????????? ??? ?? ????? ???,????,??? ????????? ???? ????? ??? |,????,???? ????????? ???? ???? ????.,?????????,???? ????????? ?????? ????? ????,??????????
Help with a real estate transaction.,Notary,?? ???? ?????? ?????? ?? ??? ??? ?????,?????,?? ????? ??????? ???????? ??????? ?????? |,??????,????? ??????? ?????????? ????? ??????.,?????,???? ?????? ?????? ???????? ???? ??????? ?????,??????
Mediation for workplace conflict.,Mediator,????????? ?????? ?? ??? ??????????,???????,????????????? ????????? ???????? |,?????????,???????? ????????? ?????????????.,?????????,????????????? ?????????? ???? ??????????,?????????????
Prepare a will for my estate.,Document Writer,???? ??????? ?? ??? ?? ????? ????? ?????,????????? ????,?? ??????? ???? ?? ????? ???????? ?? |,??????????? ?????? |,?? ??????? ???? ??????? ?????? ??????.,??????????? ?????,???? ???????? ???? ???? ??? ?????????,??? ????
Need a lawyer for a criminal case.,Advocate,?? ??????? ????? ?? ??? ?? ???? ?? ????? ???,????,??????? ????? ???? ??? ???? ?????? ?????? |,????,????????? ???? ???? ????????? ??????.,?????????,??????? ?????? ???? ???? ??????? ??????,??????????
I need a document writer.,Document Writer,???? ?? ????????? ???? ?? ???????? ???,????????? ????,??? ?? ??????????? ???? ????? |,??????????? ?????? |,???? ??????????? ????? ??????.,??????????? ?????,???? ???? ???????? ???? ??????,??? ????
Document writer for affidavit,Document Writer,??????? ?? ??? ????????? ????,????????? ????,????????? ???? ROULART ROUTER ROURT |,??????????? ?????? |,???????? ???? ??????????? ?????,??????????? ?????,???????? ???? ??? ????,??? ????
I need a Advocate,Advocate,???? ?? ???? ?????,????,??? ?? ????,????,???? ????????? ??????,?????????,???? ???? ?????????? ?????,??????????
Need a will,Document Writer,????? ?? ????? ??,????????? ????,?? ????? ????? |,??????????? ?????? |,??????? ?????,??????????? ?????,???? ??? ????????,??? ????
Verify,Notary,???????? ????,?????,????? ?????? |,??????,????????????,?????,????? ????,??????
Verification,Notary,???????,?????,?? ification ??,??????,???????,?????,?????????,??????
Authentication of documents,Notary,??????????? ?? ??????????,?????,??????????? ? ????????????? |,??????,?????? ???????????,?????,???? ??????????,??????
Stamp paper,Notary,??????? ????,?????,??????? ???? |,??????,??????? ?????,?????,????????? ?????,??????
I am currently involved in a legal dispute and need representation in court.,Advocate,??? ??????? ??? ?? ?????? ????? ??? ????? ??? ?? ????? ??? ???????????? ?? ???????? ???,????,??? ????????? ?? ????? ??????? ???? ??? ??????? ???????????? ?????? |,????,???? ????????? ????????? ???????? ???????????? ????? ???????? ???????????? ?????.,?????????,??? ???????? ???? ?????? ????? ??? ?????? ?????????????? ?????????,??????????
I want to facilitate negotiation and reach an agreement with another party.,Mediator,??? ?????? ?? ?????? ?????? ???? ????? ??? ?? ???? ???? ?????? ?? ??? ?? ?????? ?? ??????? ????? ????,???????,??? ?? negoti ???? ??????? ???? ??????? ??? ???? ?? ???? ?? ???????? ?????????? ????? |,?????????,???? ??????? ??????? ?????????????????? ????? ???? ???????? ??????? ??????????????????????????.,?????????,??? ??????? ?????????? ??? ???? ???? ???? ???? ???????? ??????? ????,?????????????
I need a legally binding resolution for my dispute.,Arbitrator,???? ???? ????? ?? ??? ?????? ??? ?? ????????? ?????? ?? ???????? ???,???,??? ????? ???? ??? ?? ????? ??????????? ??????????? ????? |,???????,?? ?????? ???? ???? ??????????? ???????? ?????.,?????????,???? ??????? ???? ???? ???????? ??????????? ????????? ??????,?????
"I require assistance with document preparation or review, such as contracts or wills.",Document Writer,"???? ????????? ?? ?????? ?? ??????? ?? ??? ?????? ?? ???????? ??, ???? ?? ?????? ?? ??????",????????? ????,??? ??????????? ????????? ?????? ??????? ???? ?????? ?????? ??? ?????? ??????? ??????? ?????????? ?????? ????? |,??????????? ?????? |,????????????? ???? ???????? ???? ???? ????? ???? ???????? ???? ????? ?????.,??????????? ?????,???? ???????? ????????? ?? ?????????? ???? ?????? ?? ???????? ???? ??????? ?????????,??? ????
I need notarization services for my legal documents.,Notary,???? ???? ?????? ?????????? ?? ??? ?????????? ?????? ?? ???????? ???,?????,??? ????? ?????????? ???? ??? ????????? ???? ?????? ??? |,??????,?? ????????? ?????? ???? ?????????? ????? ?????.,?????,???? ???? ???????? ???? ???? ??????????? ???????????? ??????,??????
"I am not involved in a legal dispute or court case, but I need help with document drafting or review.",Document Writer,"??? ?? ?????? ????? ?? ????? ?? ????? ??? ????? ???? ???, ????? ???? ????????? ?????????? ?? ??????? ?? ??? ??? ?? ?????? ???",????????? ????,"??? ?? ????? ????? ?????? ????? ??????? ???? ?????, ?????? ???? ??????????? ????????? ?????? ??????? ???? ??????? ?????? ??? |",??????????? ?????? |,"???? ????????? ?????? ???? ?????? ?????? ???????????, ???? ??????????? ??????????? ???? ???????? ???? ????? ??????.",??????????? ?????,"??? ???? ???? ????? ?? ??????? ??????? ????? ??, ??? ???????? ????? ?? ???????????? ???? ??????? ??????",??? ????
My legal matter involves complex legal procedures or court appearances.,Advocate,???? ?????? ????? ??? ???? ?????? ??????????? ?? ????? ?? ???????? ????? ???,????,??? ????? ???? ???? ????? ??????? ?????? ????? ????? ???? ???? |,????,?? ????????? ????? ????????? ????????? ???????? ???? ?????? ??????????.,?????????,???? ???? ?????? ???? ???? ?????? ?? ??????? ???????? ??????,??????????
My primary focus is on negotiation and finding common ground between parties.,Mediator,???? ???????? ????? ?????? ?? ?? ?? ????????? ?? ??? ?? ???? ??? ??? ???,???????,??? ???????? ?????? ??????? ??? ?????? ?????? ?????? ???? ?????? |,?????????,?? ???????? ?????? ??????? ???? ?????? ????? ?????? ?????????? ????????.,?????????,???? ???????? ??????? ??????? ???? ??? ??????? ????? ?????? ?????? ???????? ?????,?????????????
I need to authenticate and witness signatures on legal documents.,Notary,???? ?????? ?????????? ?? ????????? ?? ???? ????????? ???? ?? ???????? ???,?????,????? ???????????? ???? ????????????? ??? ??????? ???? ?????? |,??????,???? ????????? ???????? ???????? ???????????????? ????? ?????? ??????.,?????,???? ????????? ???? ???????? ?????????? ??? ??????? ???? ????,??????
